id,text,date,sentiment
1223380826080997376,"Ρυθμίσεις για ΟΑΣΑ, ΟΑΣΘ, ΚΤΕΛ στο σχέδιο νόμου για υδατοδρόμια ",2020-01-31 23:01:32+00:00,nrl
1223359625451442176,Είναι η άλλη στο λεωφορείο του ΟΑΣΘ με τη χειρουργική μάσκα και έχει τη μύτη έξω. Ας λυπηθεί κάποιος αυτή τη χώρα κι ας ρίξει μια πυρηνική βόμβα να τελειώνουμε.,2020-01-31 21:37:18+00:00,neg
1223271941248778244,Στα μέσα Φεβρουαρίου ξεκινούν τα πρώτα δρομολόγια των ΚΤΕΛ στις γραμμές του ΟΑΣΘ ,2020-01-31 15:48:52+00:00,nrl
1223162988615565314,ΚΑΛΗΜΈΡΑ ΣΕ ΟΛΟΥΣ ΕΚΤΌΣ ΑΠΟ ΑΥΤΟΎΣ ΠΟΥ ΒΉΧΟΥΝ ΜΈΣΑ ΣΤΑ ΜΟΎΤΡΑ ΜΟΥ ΣΤΟΝ ΟΑΣΘ,2020-01-31 08:35:56+00:00,neg
1222990413893636098,Περιμένοντας τον ΟΑΣΘ #AgriesMelisses,2020-01-30 21:10:11+00:00,nrl
1222965610541395969,"Μεσα στον οασθ σημερα ενα λεωφορειο γεματο γεροντια, κραζανε μια κοπελα που δε σηκωθηκε να κατσει μια κυρα που ειχε κατεβει για καφεδακι. Και ελεγε η γρια ""τι κανουν οι νεοι για να ναι κουρασμενοι το πρωι;"". Πώς δεν αρχισα να τσιριζω κ να φτυνω δεν ξερω.",2020-01-30 19:31:37+00:00,neg
1222956015207026691,Αν επιβεβαιωθεί ο #κοροναϊός στη Θεσσαλονίκη παρακαλώ να ενεργήσουν ψύχραιμα οι αρχές και να βομβαρδίσουν όλα τα 27 του ΟΑΣΘ.,2020-01-30 18:53:30+00:00,neg
1222495049080102913,20 χρόνια metro στην Αθήνα. 40 χρόνια ΟΑΣΘ ρε ,2020-01-29 12:21:47+00:00,pos
1222489959472517121,Εδώ και 10' περιμένω τη γραμμή ΟΑΣΘ 45 που έγραφε πως έρχεται σε 4' και guess what... Απλά εξαφανίστηκε απ' την τηλεματική χωρίς να χει περάσει. Αυτός είναι ο οασθ της ΝΔ,2020-01-29 12:01:33+00:00,neg
1222450464781938689,"Έτοιμα τα ΚΤΕΛ για τους δρόμους της Θεσσαλονίκης #OpenNews #OraEllados7 Έτοιμη είναι η πρώτη παρτίδα από τα, συνολικά, 74 νέα λεωφορεία τα οποία έχει παραγγείλει το ΚΤΕΛ, που έχει αναλάβει κάποια από τα αστικά δρομολόγια του ΟΑΣΘ. ",2020-01-29 09:24:37+00:00,nrl
1222120604234670081,Καταγγελία για παράνομες κρατικές ενισχύσεις στον ΟΑΣΘ - Η Κομισιόν «καρφώνει» τη ΝΔ ,2020-01-28 11:33:52+00:00,neg
1222109902019223552,"Αποσύρθηκε η καταγγελία για παράνομες κρατικές ενισχύσεις στον ΟΑΣΘ - Η Κομισιόν ""καρφώνει"" τη ΝΔ ",2020-01-28 10:51:21+00:00,irr
1222104752697368577,"10.000 ευρώ καμπάνα σε επιβάτη που γρονθοκόπησε οδηγό του ΟΑΣΘ. Η πραγματική τιμωρία θα ήταν να κάνει ισόβια όλες του τις μετακινήσεις με ΟΑΣΘ. Απάνθρωπο, αλλά δίκαιο.",2020-01-28 10:30:53+00:00,neg
1222086113688539138,"Κατεβαίνεις από ΟΑΣΘ και δεν ξέρεις σε ποια στάση είσαι, τι ώρα είναι , γιατί κατέβηκες κέντρο , άνθρωπος ή προβατίνα ? #οασθ",2020-01-28 09:16:49+00:00,neg
1221862433280741376,Τρεις ώρες έκανα για να έρθω από Στοκχόλμη στη Θεσσαλονίκη με το αεροπλάνο κι άλλες τόσες για να πάω από το αεροδρόμιο στην Σταυρούπολη με τον ΟΑΣΘ... Σουηδία γίναμε... #thessaloniki #skg #oasth,2020-01-27 18:27:59+00:00,neg
1221840612451856392,"Ρυθμίσεις για ΟΑΣΑ, ΟΑΣΘ, ΚΤΕΛ στο σχέδιο νόμου για υδατοδρόμια ",2020-01-27 17:01:17+00:00,irr
1221820822844821504,Έμφαση ΟΑΣΘ στις γραμμές της δυτικής Θεσσαλονίκης ,2020-01-27 15:42:39+00:00,nrl
1221726201447882753,οάσθ&gt;ελικόπτερο,2020-01-27 09:26:39+00:00,irr
1221687612559306752,Λογικά τεστάρουν τις αντοχές μας #οασθ_ξεφτιλες,2020-01-27 06:53:19+00:00,neg
1220448014529179648,Μεγάλο είναι τ χάλι τ #ΟΑΣΘ. Η κατάσταση πηγαίνει από το κακό στο χειρότερο,2020-01-23 20:47:36+00:00,neg
1220446468764512261,Τα νησιά του ανατολικού Αιγαίου εκπέμπουν SOS λόγω των χιλιάδων εγκλωβισμένων μεταναστών κ η Θεσ/νίκη λόγω #ΟΑΣΘ. Λιγότερα από 260 λεωφορεία καθημερινά κ τα δρομολόγια έχουν μειωθεί σημαντικά,2020-01-23 20:41:27+00:00,neg
1220267126424031232,"Θα περάσουν και τα μνημόνια, θα περάσει κι η κρίση, μόνο το λεωφορείο του ΟΑΣΘ δεν θα περάσει",2020-01-23 08:48:49+00:00,neg
